episode,reward
0,0.4405
100,0.107
200,0.52725
300,0.52675
400,1.04025
500,1.08575
600,1.164
700,1.17
800,1.17125
900,1.25725
1000,1.10425
1100,1.15375
1200,1.062
1300,0.90075
1400,0.96325
1500,0.936
1600,0.94875
1700,1.054
1800,1.077
1900,1.1585
2000,1.14
2100,1.05225
2200,0.952
2300,1.017
2400,1.03075
2500,0.96025
2600,0.98375
2700,0.993
2800,1.0245
2900,0.996
3000,0.94925
3100,1.04625
3200,0.994
3300,0.9505
3400,1.0275
3500,1.02075
3600,0.9265
3700,1.055
3800,1.0505
3900,0.97075
4000,1.02125
4100,1.00775
4200,0.8485
4300,1.04625
4400,0.94475
4500,1.0255
4600,1.045
4700,1.07125
4800,1.06575
4900,0.984
